gene_id,gene_name
ENSG00000185986,SDHAP3
ENSG00000186019,AC084219.4
ENSG00000186051,TAL2
ENSG00000186056,MATN1-AS1
ENSG00000186076,RP11-887P2.3
ENSG00000186082,KRT18P14
ENSG00000186118,TEX38
ENSG00000186162,CIDECP
ENSG00000186235,AC016757.3
ENSG00000186301,MST1P2
ENSG00000186312,CA5BP1
ENSG00000186369,LINC00643
ENSG00000186481,ANKRD20A5P
ENSG00000186508,OR9I2P
ENSG00000186577,C6orf1
ENSG00000186594,MIR22HG
ENSG00000186615,KTN1-AS1
ENSG00000186676,EEF1GP1
ENSG00000186704,DTX2P1
ENSG00000186715,MST1L
ENSG00000186827,TNFRSF4
ENSG00000186831,KRT17P2
ENSG00000186842,LINC00846
ENSG00000186960,C14orf23
ENSG00000187013,C17orf82
ENSG00000187066,TMEM262
ENSG00000187172,BAGE2
ENSG00000187536,TPM3P7
ENSG00000187556,NANOS3
ENSG00000187566,NHLRC1
ENSG00000187621,TCL6
ENSG00000187686,KRT18P59
ENSG00000187690,CXorf67
ENSG00000187753,C9orf153
ENSG00000187762,HSPE1P11
ENSG00000187900,OR5H7P
ENSG00000187904,AC097382.5
ENSG00000187944,C2orf66
ENSG00000187951,ARHGAP11B
ENSG00000187952,HS6ST1P1
ENSG00000187953,PMS2CL
ENSG00000187959,CPSF4L
ENSG00000187984,ANKRD19P
ENSG00000187999,HNRNPA1P61
ENSG00000188002,RP11-43F13.1
ENSG00000188185,LINC00265
ENSG00000188242,CTD-2228K2.5
ENSG00000188277,C15orf62
ENSG00000188315,C3orf62
ENSG00000188396,TCTEX1D4
ENSG00000188459,WASF4P
ENSG00000188511,C22orf34
ENSG00000188585,LINC00083
ENSG00000188599,NPIPP1
ENSG00000188655,RNASE9
ENSG00000188681,TEKT4P2
ENSG00000188693,CTB-161K23.1
ENSG00000188707,ZBED6CL
ENSG00000188729,OSTN
ENSG00000188825,LINC00910
ENSG00000188897,CTD-3088G3.8
ENSG00000188933,USP32P1
ENSG00000188958,UTS2B
ENSG00000188985,DHFRP1
ENSG00000189014,FAM35DP
ENSG00000189030,VHLL
ENSG00000189136,UBE2Q2P1
ENSG00000189149,CRYM-AS1
ENSG00000189167,ZAR1L
ENSG00000189196,LINC00994
ENSG00000189212,DPY19L2P1
ENSG00000189223,PAX8-AS1
ENSG00000189229,AC069277.2
ENSG00000189332,RP11-113D6.10
ENSG00000189343,RPS2P46
ENSG00000189366,ALG1L
ENSG00000189423,USP32P3
ENSG00000196096,AC079610.2
ENSG00000196114,RP3-391O22.3
ENSG00000196115,ADAM5
ENSG00000196167,COLCA1
ENSG00000196196,HRCT1
ENSG00000196204,RNF216P1
ENSG00000196205,EEF1A1P5
ENSG00000196295,AC005154.6
ENSG00000196301,HLA-DRB9
ENSG00000196302,RP11-497H16.5
ENSG00000196312,HIATL2
ENSG00000196366,C9orf163
ENSG00000196381,ZNF781
ENSG00000196421,LINC00176
ENSG00000196656,AC004057.1
ENSG00000196666,FAM180B
ENSG00000196668,LINC00173
ENSG00000196696,PDXDC2P
ENSG00000196741,CXorf24
ENSG00000196756,SNHG17
ENSG00000196796,CTB-134H23.2
ENSG00000196810,CTBP1-AS2
ENSG00000196826,ZNF709
ENSG00000196844,PATE2
ENSG00000196922,ZNF252P
ENSG00000196951,RP11-425I13.3
ENSG00000197085,NPSR1-AS1
ENSG00000197099,RP11-573D15.8
ENSG00000197149,RP11-452G18.2
ENSG00000197180,BX936347.1
ENSG00000197182,FLJ27365
ENSG00000197251,LINC00336
ENSG00000197254,AP000445.1
ENSG00000197258,EIF4BP6
ENSG00000197291,RAMP2-AS1
ENSG00000197301,RP11-366L20.2
ENSG00000197308,GATA3-AS1
ENSG00000197332,ZNF833P
ENSG00000197358,BNIP3P1
ENSG00000197376,OR8S1
ENSG00000197421,GGT3P
ENSG00000197536,C5orf56
ENSG00000197549,PRAMENP
ENSG00000197550,RP11-460N11.2
ENSG00000197558,SSPO
ENSG00000197568,HHLA3
ENSG00000197582,GPX1P1
ENSG00000197813,CTC-301O7.4
ENSG00000197815,AC122129.1
ENSG00000197847,SLC22A20
ENSG00000197880,MDS2
ENSG00000197927,C2orf27A
ENSG00000197989,SNHG12
ENSG00000198106,SNX29P2
ENSG00000198155,ZNF876P
ENSG00000198211,TUBB3
ENSG00000198221,MLLT4-AS1
ENSG00000198237,RP11-98J23.2
ENSG00000198406,BZW1P2
ENSG00000198416,CTD-2173L22.4
ENSG00000198417,MT1F
ENSG00000198468,FLVCR1-AS1
ENSG00000198496,NBR2
ENSG00000198590,C3orf35
ENSG00000198618,PPIAP22
ENSG00000198658,ABHD17AP2
ENSG00000198671,RP11-168J19.2
ENSG00000198673,FAM19A2
ENSG00000198685,C3orf27
ENSG00000198711,SSBP3-AS1
ENSG00000199218,RN7SKP184
ENSG00000199683,RN7SKP185
ENSG00000199691,RN7SKP173
ENSG00000199730,RN7SKP95
ENSG00000200047,RN7SKP115
ENSG00000200087,SNORA73B
ENSG00000200091,RN7SKP163
ENSG00000200131,RN7SKP77
ENSG00000200488,RN7SKP203
ENSG00000200538,U3
ENSG00000200783,RN7SKP180
ENSG00000200959,SNORA74A
ENSG00000201201,RN7SKP118
ENSG00000201564,RN7SKP50
ENSG00000201581,RN7SKP78
ENSG00000201793,RN7SKP9
ENSG00000202058,RN7SKP80
ENSG00000202392,RN7SKP292
ENSG00000202406,RN7SKP187
ENSG00000202415,RN7SKP269
ENSG00000203288,RP11-98D18.9
ENSG00000203325,RP11-277A4.4
ENSG00000203327,AC012358.7
ENSG00000203334,AP003027.1
ENSG00000203356,RP11-296A18.3
ENSG00000203392,AC105020.1
ENSG00000203395,AC015969.3
ENSG00000203396,RP11-217O12.1
ENSG00000203397,RP13-36G14.3
ENSG00000203414,BTBD7P1
ENSG00000203434,RP11-163F15.1
ENSG00000203435,AC104600.1
ENSG00000203441,LINC00449
ENSG00000203489,HMGB1P39
ENSG00000203496,RP11-291L22.4
ENSG00000203497,PDCD4-AS1
ENSG00000203506,RBMS3-AS2
ENSG00000203546,RP11-176H8.1
ENSG00000203593,RP5-1096D14.6
ENSG00000203601,LINC00970
ENSG00000203616,RHOT1P2
ENSG00000203643,AC012456.3
ENSG00000203644,AC083799.1
ENSG00000203645,LINC00501
ENSG00000203647,AC106827.1
ENSG00000203684,IBA57-AS1
ENSG00000203709,C1orf132
ENSG00000203711,C6orf99
ENSG00000203721,LINC00862
ENSG00000203739,RP11-296O14.3
ENSG00000203761,MSTO2P
ENSG00000203799,CCDC162P
ENSG00000203804,ADAMTSL4-AS1
ENSG00000203809,LINC00577
ENSG00000203812,HIST2H2AA4
ENSG00000203865,ATP1A1OS
ENSG00000203875,SNHG5
ENSG00000203876,RP11-451M19.3
ENSG00000203930,LINC00632
ENSG00000203993,C9orf37
ENSG00000204025,TRPC5OS
ENSG00000204054,LINC00963
ENSG00000204055,RP11-247A12.2
ENSG00000204177,BMS1P1
ENSG00000204194,RPL12P1
ENSG00000204196,AC011737.2
ENSG00000204241,RP11-713P17.3
ENSG00000204253,HNRNPCP2
ENSG00000204261,TAPSAR1
ENSG00000204282,TNRC6C-AS1
ENSG00000204283,FLJ45079
ENSG00000204311,DFNB59
ENSG00000204314,PRRT1
ENSG00000204338,CYP21A1P
ENSG00000204387,C6orf48
ENSG00000204398,RP11-65D24.2
ENSG00000204403,CASP12
ENSG00000204428,LY6G5C
ENSG00000204434,POTEKP
ENSG00000204584,RP11-304F15.3
ENSG00000204588,LINC01123
ENSG00000204620,AC115618.1
ENSG00000204623,ZNRD1-AS1
ENSG00000204650,CRHR1-IT1
ENSG00000204659,CBY3
ENSG00000204666,CTD-2126E3.1
ENSG00000204682,CASC10
ENSG00000204685,STARD7-AS1
ENSG00000204706,MAMDC2-AS1
ENSG00000204745,AC083899.3
ENSG00000204758,CTC-308K20.1
ENSG00000204778,RP11-15J10.1
ENSG00000204780,IGKV1OR9-1
ENSG00000204789,ZNF204P
ENSG00000204792,AC104135.3
ENSG00000204802,RP11-111F5.4
ENSG00000204866,IGFL2
ENSG00000204929,AC074391.1
ENSG00000204934,ATP6V0E2-AS1
ENSG00000204949,FAM83A-AS1
ENSG00000204959,ARHGEF34P
ENSG00000204993,AC139712.2
ENSG00000205018,RP11-830F9.6
ENSG00000205041,CTC-425O23.2
ENSG00000205056,RP11-693J15.5
ENSG00000205086,C2orf91
ENSG00000205176,REXO1L1P
ENSG00000205181,LINC00654
ENSG00000205184,SLC10A5P1
ENSG00000205231,TTLL10-AS1
ENSG00000205236,RP11-514P8.6
ENSG00000205318,GCNT6
ENSG00000205331,OR6C72P
ENSG00000205333,GOLGA2P1
ENSG00000205334,AC074091.13
ENSG00000205358,MT1H
ENSG00000205464,ATP6AP1L
ENSG00000205485,AC004980.7
ENSG00000205500,AC013472.3
ENSG00000205534,RP11-345J4.8
ENSG00000205537,RP11-89H19.1
ENSG00000205559,CHKB-AS1
ENSG00000205578,POM121B
ENSG00000205583,STAG3L1
ENSG00000205592,MUC19
ENSG00000205653,RP3-416J7.5
ENSG00000205695,RP11-15H7.2
ENSG00000205702,CYP2D7P
ENSG00000205704,LINC00634
ENSG00000205740,AL359878.1
ENSG00000205746,RP11-1212A22.1
ENSG00000205754,SLCO1B7
ENSG00000205763,RP9P
ENSG00000205771,CATSPER2P1
ENSG00000205786,AC002511.1
ENSG00000205790,AC005594.3
ENSG00000205791,LOH12CR2
ENSG00000205794,RP11-333E13.4
ENSG00000205795,CYS1
ENSG00000205822,TPTE2P6
ENSG00000205837,LINC00487
ENSG00000205853,RFPL3S
ENSG00000205861,C1QTNF9B-AS1
ENSG00000205885,C1RL-AS1
ENSG00000205913,SRRM2-AS1
ENSG00000205918,PDPK2
ENSG00000205923,CEMP1
ENSG00000205930,C21orf49
ENSG00000205940,HSP90AB2P
ENSG00000205959,RP11-689P11.2
ENSG00000206028,CTA-373H7.7
ENSG00000206120,EGFEM1P
ENSG00000206149,HERC2P9
ENSG00000206195,AP000525.9
ENSG00000206228,HNRNPA1P4
ENSG00000206337,HCP5
ENSG00000206341,HLA-H
ENSG00000206344,HCG27
ENSG00000206417,H1FX-AS1
ENSG00000206448,PPIAP30
ENSG00000206535,LNP1
ENSG00000206567,AC022007.5
ENSG00000206573,SETD5-AS1
ENSG00000210082,MT-RNR2
ENSG00000211451,GNRHR2
ENSG00000211454,AKR7L
